stack,nb_occurences,hunspell_bo
སྦོ,11182,1
ཌཱ,11141,0
ནྟ,11029,0
རྣོ,10969,1
ནྡྷ,10933,0
དྡྷི,10889,0
རྙི,10540,1
༦,10070,1
ཙཱ,9849,0
བཻ,9833,0
ཀྟ,9829,0
རྩུ,9822,1
རྫི,9788,1
ལྡི,9716,1
ཡཾ,9613,0
ནྡ,9323,0
མྲྀ,9282,0
གྱ,9058,1
སྒ,8966,1
སྦུ,8950,1
ཟླུ,8921,1
སྭོ,8868,1
༨,8853,1
སྟུ,8801,1
དྡྷ,8724,0
དཱ,8595,0
རྱ,8547,0
ལཱ,8539,0
ཁཾ,8500,0
ཙེ,8480,1
༩,8448,1
རྡེ,8436,1
ལྕི,8435,1
རཱི,8395,0
ཏྤ,8114,0
ཀྲྀ,8106,0
ངྒ,8033,0
རྔུ,8004,1
ལཾ,7995,0
ཇེ,7821,1
ཀཽ,7759,0
དྱ,7674,0
ཥྛ,7634,0
གཱ,7633,0
རྒུ,7628,1
ཧྲི,7553,1
ཌ,7250,0
ཛཱ,7213,0
ཏྭ,7176,0
སྒེ,7070,1
སྱ,7004,0
ཚྭ,6650,1
སྐེ,6626,1
རྭ,6612,1
བྷུ,6316,0
སླེ,6285,1
ཨོྃ,6273,0
སྒྲེ,6135,1
ཁྲེ,6091,1
ཎྜི,6059,0
སྨྱོ,6056,1
ཀྲེ,6051,1
བྷྱ,6038,0
རྩྭ,5931,1
ནཾ,5902,0
ང༷,5741,0
དྲྭ,5655,1
གྲྭ,5624,1
དྷུ,5617,0
བྷཱུ,5558,0
བཱི,5535,0
ཛྭ,5527,0
སྦྲེ,5410,1
ནྱ,5331,0
ནྡྲ,5298,0
ཥྚ,5295,0
སྟྭཾ,5284,0
ལྐོ,5229,1
ཏྨ,5144,0
དྷཱུ,5139,0
ས༷,5127,0
མཾ,5074,0
གཽ,5014,0
མྦྷ,4980,0
བྷེ,4959,0
པྟ,4926,0
ཊྭཱཾ,4876,0
